ImageName,RootImage,Bot,Human
eggs0countAO1 Control 5-4 19 pt58.jpg,AO1 Control 5-4 19,0,0
eggs0countACO1 Lithium 5-4 23 pt79.jpg,ACO1 Lithium 5-4 23,0,0
eggs0countACO1 Control 5-4 39 pt58.jpg,ACO1 Control 5-4 39,0,0
eggs0countAO1 Lithium 5-4 39 pt99.jpg,AO1 Lithium 5-4 39,0,0
eggs0countACO1 Lithium 5-4 20 pt98.jpg,ACO1 Lithium 5-4 20,0,0
eggs0countCO1 Lithium 5-4 42 pt41.jpg,CO1 Lithium 5-4 42,0,0
eggs0countnCO1 Lithium 5-4 19 pt40.jpg,nCO1 Lithium 5-4 19,0,0
eggs0countCO1 Lithium 5-4 32 pt51.jpg,CO1 Lithium 5-4 32,0,0
eggs4countnCO1 Control 5-4 44 pt77.jpg,nCO1 Control 5-4 44,4,4
eggs0countnCO1 Control 5-4 45 pt17.jpg,nCO1 Control 5-4 45,1,0
eggs0countACO1 Lithium 5-4 20 pt60.jpg,ACO1 Lithium 5-4 20,0,0
eggs0countAO1 Lithium 5-4 34 pt18.jpg,AO1 Lithium 5-4 34,0,0
eggs0countAO1 Control 5-4 9 pt85.jpg,AO1 Control 5-4 9,0,0
eggs0countAO1 Control 5-4 36 pt82.jpg,AO1 Control 5-4 36,0,0
eggs0countACO1 Lithium 5-4 14 pt43.jpg,ACO1 Lithium 5-4 14,0,0
eggs0countAO1 Lithium 5-4 12 pt62.jpg,AO1 Lithium 5-4 12,1,0
eggs0countnCO1 Lithium 5-4 11 pt85.jpg,nCO1 Lithium 5-4 11,0,0
eggs0countCO1 Lithium 5-4 38 pt21.jpg,CO1 Lithium 5-4 38,0,0
eggs0countnCO1 Lithium 5-4 9 pt62.jpg,nCO1 Lithium 5-4 9,0,0
eggs0countnCO1 Lithium 5-4 15 pt98.jpg,nCO1 Lithium 5-4 15,0,0
eggs0countAO1 Lithium 5-4 33 pt32.jpg,AO1 Lithium 5-4 33,0,0
eggs0countnCO1 Lithium 5-4 49 pt57.jpg,nCO1 Lithium 5-4 49,0,0
eggs0countAO1 Control 5-4 6 pt93.jpg,AO1 Control 5-4 6,0,0
eggs0countCO1 Control 5-4 12 pt16.jpg,CO1 Control 5-4 12,0,0
eggs0countnCO1 Lithium 5-4 6 pt79.jpg,nCO1 Lithium 5-4 6,0,0
eggs0countACO1 Control 5-4 25 pt30.jpg,ACO1 Control 5-4 25,0,0
eggs0countACO1 Lithium 5-4 3 pt77.jpg,ACO1 Lithium 5-4 3,0,0
eggs1countCO1 Control 5-4 29 pt88.jpg,CO1 Control 5-4 29,1,1
eggs0countAO1 Control 5-4 26 pt42.jpg,AO1 Control 5-4 26,0,0
eggs0countnCO1 Lithium 5-4 46 pt70.jpg,nCO1 Lithium 5-4 46,0,0
eggs0countnCO1 Lithium 5-4 23 pt82.jpg,nCO1 Lithium 5-4 23,0,0
eggs0countnCO1 Lithium 5-4 46 pt41.jpg,nCO1 Lithium 5-4 46,0,0
eggs0countACO1 Control 5-4 47 pt27.jpg,ACO1 Control 5-4 47,0,0
eggs0countAO1 Lithium 5-4 15 pt54.jpg,AO1 Lithium 5-4 15,0,0
eggs0countCO1 Control 5-4 49 pt37.jpg,CO1 Control 5-4 49,1,0
eggs0countACO1 Control 5-4 42 pt83.jpg,ACO1 Control 5-4 42,0,0
eggs0countCO1 Lithium 5-4 46 pt35.jpg,CO1 Lithium 5-4 46,0,0
eggs0countACO1 Control 5-4 26 pt82.jpg,ACO1 Control 5-4 26,0,0
eggs0countACO1 Lithium 5-4 12 pt38.jpg,ACO1 Lithium 5-4 12,0,0
eggs2countCO1 Lithium 5-4 47 pt56.jpg,CO1 Lithium 5-4 47,4,2
eggs0countAO1 Lithium 5-4 46 pt83.jpg,AO1 Lithium 5-4 46,0,0
eggs1countAO1 Lithium 5-4 12 pt22.jpg,AO1 Lithium 5-4 12,1,1
eggs0countnCO1 Lithium 5-4 13 pt30.jpg,nCO1 Lithium 5-4 13,0,0
eggs0countnCO1 Control 5-4 48 pt96.jpg,nCO1 Control 5-4 48,0,0
eggs0countAO1 Control 5-4 43 pt42.jpg,AO1 Control 5-4 43,1,0
eggs0countAO1 Control 5-4 39 pt94.jpg,AO1 Control 5-4 39,0,0
eggs0countACO1 Control 5-4 41 pt87.jpg,ACO1 Control 5-4 41,0,0
eggs0countCO1 Lithium 5-4 28 pt48.jpg,CO1 Lithium 5-4 28,0,0
eggs0countnCO1 Control 5-4 16 pt100.jpg,nCO1 Control 5-4 16,0,0
eggs0countACO1 Lithium 5-4 1 pt10.jpg,ACO1 Lithium 5-4 1,0,0
eggs0countACO1 Lithium 5-4 38 pt5.jpg,ACO1 Lithium 5-4 38,0,0
eggs0countCO1 Control 5-4 28 pt12.jpg,CO1 Control 5-4 28,0,0
eggs0countACO1 Control 5-4 22 pt42.jpg,ACO1 Control 5-4 22,0,0
eggs0countAO1 Control 5-4 25 pt25.jpg,AO1 Control 5-4 25,0,0
eggs0countnCO1 Lithium 5-4 16 pt31.jpg,nCO1 Lithium 5-4 16,0,0
eggs0countACO1 Control 5-4 18 pt10.jpg,ACO1 Control 5-4 18,0,0
eggs0countAO1 Control 5-4 47 pt22.jpg,AO1 Control 5-4 47,0,0
eggs3countnCO1 Lithium 5-4 50 pt48.jpg,nCO1 Lithium 5-4 50,3,3
eggs0countAO1 Lithium 5-4 6 pt22.jpg,AO1 Lithium 5-4 6,0,0
eggs0countAO1 Lithium 5-4 46 pt6.jpg,AO1 Lithium 5-4 46,0,0
eggs4countCO1 Control 5-4 15 pt34.jpg,CO1 Control 5-4 15,4,4
eggs0countAO1 Lithium 5-4 14 pt96.jpg,AO1 Lithium 5-4 14,0,0
eggs0countAO1 Control 5-4 17 pt89.jpg,AO1 Control 5-4 17,0,0
eggs0countCO1 Lithium 5-4 14 pt59.jpg,CO1 Lithium 5-4 14,0,0
eggs3countACO1 Lithium 5-4 19 pt53.jpg,ACO1 Lithium 5-4 19,4,3
eggs0countnCO1 Lithium 5-4 17 pt37.jpg,nCO1 Lithium 5-4 17,0,0
eggs0countnCO1 Control 5-4 38 pt39.jpg,nCO1 Control 5-4 38,0,0
eggs0countAO1 Control 5-4 49 pt69.jpg,AO1 Control 5-4 49,0,0
eggs0countCO1 Lithium 5-4 8 pt57.jpg,CO1 Lithium 5-4 8,0,0
eggs0countCO1 Lithium 5-4 43 pt2.jpg,CO1 Lithium 5-4 43,0,0
eggs0countCO1 Control 5-4 2 pt66.jpg,CO1 Control 5-4 2,0,0
eggs0countCO1 Lithium 5-4 34 pt32.jpg,CO1 Lithium 5-4 34,0,0
eggs0countnCO1 Lithium 5-4 11 pt9.jpg,nCO1 Lithium 5-4 11,0,0
eggs0countAO1 Control 5-4 4 pt4.jpg,AO1 Control 5-4 4,0,0
eggs0countAO1 Lithium 5-4 41 pt7.jpg,AO1 Lithium 5-4 41,0,0
eggs1countACO1 Lithium 5-4 48 pt56.jpg,ACO1 Lithium 5-4 48,1,1
eggs0countnCO1 Control 5-4 22 pt21.jpg,nCO1 Control 5-4 22,1,0
eggs0countAO1 Lithium 5-4 28 pt33.jpg,AO1 Lithium 5-4 28,0,0
eggs0countACO1 Lithium 5-4 1 pt1.jpg,ACO1 Lithium 5-4 1,0,0
eggs0countAO1 Lithium 5-4 33 pt78.jpg,AO1 Lithium 5-4 33,0,0
eggs1countACO1 Control 5-4 34 pt45.jpg,ACO1 Control 5-4 34,1,1
eggs0countAO1 Lithium 5-4 4 pt32.jpg,AO1 Lithium 5-4 4,0,0
eggs0countAO1 Lithium 5-4 16 pt44.jpg,AO1 Lithium 5-4 16,0,0
eggs2countCO1 Lithium 5-4 28 pt43.jpg,CO1 Lithium 5-4 28,1,2
eggs0countnCO1 Lithium 5-4 17 pt71.jpg,nCO1 Lithium 5-4 17,0,0
eggs0countAO1 Control 5-4 37 pt62.jpg,AO1 Control 5-4 37,0,0
eggs0countACO1 Lithium 5-4 36 pt68.jpg,ACO1 Lithium 5-4 36,0,0
eggs0countnCO1 Control 5-4 50 pt46.jpg,nCO1 Control 5-4 50,0,0
eggs0countACO1 Lithium 5-4 13 pt16.jpg,ACO1 Lithium 5-4 13,0,0
eggs0countCO1 Control 5-4 1 pt80.jpg,CO1 Control 5-4 1,0,0
eggs0countAO1 Control 5-4 32 pt15.jpg,AO1 Control 5-4 32,0,0
eggs0countAO1 Control 5-4 5 pt89.jpg,AO1 Control 5-4 5,0,0
eggs0countnCO1 Control 5-4 14 pt40.jpg,nCO1 Control 5-4 14,0,0
eggs0countAO1 Lithium 5-4 31 pt43.jpg,AO1 Lithium 5-4 31,0,0
eggs3countnCO1 Control 5-4 11 pt38.jpg,nCO1 Control 5-4 11,4,3
eggs0countnCO1 Lithium 5-4 30 pt90.jpg,nCO1 Lithium 5-4 30,0,0
eggs0countAO1 Lithium 5-4 11 pt64.jpg,AO1 Lithium 5-4 11,0,0
eggs0countnCO1 Lithium 5-4 28 pt2.jpg,nCO1 Lithium 5-4 28,0,0
eggs0countCO1 Lithium 5-4 28 pt94.jpg,CO1 Lithium 5-4 28,0,0
eggs1countCO1 Lithium 5-4 2 pt68.jpg,CO1 Lithium 5-4 2,1,1
eggs0countCO1 Lithium 5-4 6 pt61.jpg,CO1 Lithium 5-4 6,0,0
eggs0countAO1 Lithium 5-4 28 pt63.jpg,AO1 Lithium 5-4 28,0,0
eggs1countnCO1 Lithium 5-4 29 pt79.jpg,nCO1 Lithium 5-4 29,1,1
eggs0countACO1 Control 5-4 40 pt27.jpg,ACO1 Control 5-4 40,0,0
eggs0countCO1 Lithium 5-4 11 pt10.jpg,CO1 Lithium 5-4 11,0,0
eggs0countACO1 Lithium 5-4 27 pt4.jpg,ACO1 Lithium 5-4 27,0,0
eggs2countCO1 Lithium 5-4 13 pt63.jpg,CO1 Lithium 5-4 13,3,2
eggs0countCO1 Control 5-4 24 pt83.jpg,CO1 Control 5-4 24,0,0
eggs0countAO1 Control 5-4 27 pt42.jpg,AO1 Control 5-4 27,0,0
eggs0countCO1 Lithium 5-4 12 pt53.jpg,CO1 Lithium 5-4 12,0,0
eggs0countCO1 Lithium 5-4 5 pt100.jpg,CO1 Lithium 5-4 5,0,0
eggs0countACO1 Lithium 5-4 12 pt2.jpg,ACO1 Lithium 5-4 12,0,0
eggs0countACO1 Lithium 5-4 2 pt73.jpg,ACO1 Lithium 5-4 2,0,0
eggs1countCO1 Control 5-4 29 pt33.jpg,CO1 Control 5-4 29,1,1
eggs0countAO1 Control 5-4 25 pt22.jpg,AO1 Control 5-4 25,2,0
eggs0countACO1 Lithium 5-4 19 pt14.jpg,ACO1 Lithium 5-4 19,1,0
eggs0countAO1 Lithium 5-4 37 pt3.jpg,AO1 Lithium 5-4 37,0,0
eggs0countCO1 Lithium 5-4 7 pt2.jpg,CO1 Lithium 5-4 7,0,0
eggs0countACO1 Lithium 5-4 4 pt94.jpg,ACO1 Lithium 5-4 4,0,0
eggs0countACO1 Control 5-4 28 pt33.jpg,ACO1 Control 5-4 28,0,0
eggs1countAO1 Control 5-4 33 pt63.jpg,AO1 Control 5-4 33,1,1
eggs0countnCO1 Control 5-4 11 pt24.jpg,nCO1 Control 5-4 11,1,0
eggs0countCO1 Lithium 5-4 28 pt57.jpg,CO1 Lithium 5-4 28,0,0
eggs0countACO1 Control 5-4 42 pt43.jpg,ACO1 Control 5-4 42,0,0
eggs0countCO1 Control 5-4 18 pt10.jpg,CO1 Control 5-4 18,0,0
eggs2countCO1 Lithium 5-4 25 pt48.jpg,CO1 Lithium 5-4 25,2,2
eggs0countAO1 Lithium 5-4 8 pt40.jpg,AO1 Lithium 5-4 8,0,0
eggs2countnCO1 Control 5-4 38 pt25.jpg,nCO1 Control 5-4 38,2,2
eggs0countCO1 Lithium 5-4 4 pt67.jpg,CO1 Lithium 5-4 4,0,0
eggs0countACO1 Control 5-4 45 pt65.jpg,ACO1 Control 5-4 45,0,0
eggs0countCO1 Lithium 5-4 26 pt95.jpg,CO1 Lithium 5-4 26,0,0
eggs0countCO1 Control 5-4 6 pt20.jpg,CO1 Control 5-4 6,0,0
eggs0countACO1 Control 5-4 27 pt6.jpg,ACO1 Control 5-4 27,0,0
eggs0countCO1 Lithium 5-4 35 pt29.jpg,CO1 Lithium 5-4 35,0,0
eggs0countCO1 Control 5-4 31 pt91.jpg,CO1 Control 5-4 31,0,0
eggs0countACO1 Control 5-4 50 pt25.jpg,ACO1 Control 5-4 50,0,0
eggs0countACO1 Lithium 5-4 1 pt73.jpg,ACO1 Lithium 5-4 1,0,0
eggs0countAO1 Lithium 5-4 34 pt16.jpg,AO1 Lithium 5-4 34,0,0
eggs2countACO1 Control 5-4 32 pt77.jpg,ACO1 Control 5-4 32,2,2
eggs0countCO1 Lithium 5-4 40 pt10.jpg,CO1 Lithium 5-4 40,0,0
eggs0countnCO1 Control 5-4 39 pt41.jpg,nCO1 Control 5-4 39,0,0
eggs0countACO1 Lithium 5-4 43 pt89.jpg,ACO1 Lithium 5-4 43,0,0
eggs0countnCO1 Lithium 5-4 48 pt46.jpg,nCO1 Lithium 5-4 48,1,0
eggs0countnCO1 Lithium 5-4 50 pt50.jpg,nCO1 Lithium 5-4 50,0,0
eggs0countAO1 Lithium 5-4 42 pt97.jpg,AO1 Lithium 5-4 42,0,0
eggs0countCO1 Control 5-4 28 pt83.jpg,CO1 Control 5-4 28,0,0
eggs0countnCO1 Lithium 5-4 2 pt58.jpg,nCO1 Lithium 5-4 2,0,0
eggs0countnCO1 Control 5-4 29 pt57.jpg,nCO1 Control 5-4 29,0,0
eggs0countAO1 Control 5-4 29 pt55.jpg,AO1 Control 5-4 29,0,0
eggs0countnCO1 Lithium 5-4 24 pt30.jpg,nCO1 Lithium 5-4 24,0,0
eggs0countACO1 Control 5-4 22 pt43.jpg,ACO1 Control 5-4 22,0,0
eggs0countnCO1 Control 5-4 33 pt51.jpg,nCO1 Control 5-4 33,0,0
eggs0countnCO1 Control 5-4 4 pt11.jpg,nCO1 Control 5-4 4,0,0
eggs0countAO1 Lithium 5-4 21 pt36.jpg,AO1 Lithium 5-4 21,0,0
eggs0countCO1 Control 5-4 33 pt34.jpg,CO1 Control 5-4 33,0,0
eggs1countnCO1 Lithium 5-4 16 pt53.jpg,nCO1 Lithium 5-4 16,2,1
eggs1countAO1 Control 5-4 25 pt27.jpg,AO1 Control 5-4 25,4,1
eggs0countnCO1 Lithium 5-4 34 pt67.jpg,nCO1 Lithium 5-4 34,0,0
eggs0countCO1 Control 5-4 8 pt92.jpg,CO1 Control 5-4 8,0,0
eggs0countAO1 Control 5-4 43 pt45.jpg,AO1 Control 5-4 43,0,0
eggs0countCO1 Control 5-4 49 pt11.jpg,CO1 Control 5-4 49,0,0
eggs0countACO1 Lithium 5-4 43 pt68.jpg,ACO1 Lithium 5-4 43,0,0
eggs3countnCO1 Control 5-4 10 pt87.jpg,nCO1 Control 5-4 10,2,3
eggs1countCO1 Control 5-4 36 pt53.jpg,CO1 Control 5-4 36,1,1
eggs0countnCO1 Control 5-4 8 pt71.jpg,nCO1 Control 5-4 8,0,0
eggs0countAO1 Lithium 5-4 35 pt12.jpg,AO1 Lithium 5-4 35,0,0
eggs0countCO1 Lithium 5-4 18 pt12.jpg,CO1 Lithium 5-4 18,0,0
eggs0countCO1 Control 5-4 50 pt91.jpg,CO1 Control 5-4 50,0,0
eggs1countAO1 Lithium 5-4 45 pt87.jpg,AO1 Lithium 5-4 45,1,1
eggs0countACO1 Lithium 5-4 34 pt93.jpg,ACO1 Lithium 5-4 34,0,0
eggs0countnCO1 Lithium 5-4 29 pt10.jpg,nCO1 Lithium 5-4 29,0,0
eggs0countnCO1 Control 5-4 2 pt1.jpg,nCO1 Control 5-4 2,0,0
eggs0countACO1 Lithium 5-4 11 pt58.jpg,ACO1 Lithium 5-4 11,0,0
eggs0countnCO1 Lithium 5-4 22 pt61.jpg,nCO1 Lithium 5-4 22,0,0
eggs0countAO1 Lithium 5-4 7 pt61.jpg,AO1 Lithium 5-4 7,0,0
eggs0countnCO1 Lithium 5-4 17 pt56.jpg,nCO1 Lithium 5-4 17,0,0
eggs0countnCO1 Lithium 5-4 30 pt60.jpg,nCO1 Lithium 5-4 30,0,0
eggs0countnCO1 Control 5-4 33 pt9.jpg,nCO1 Control 5-4 33,0,0
eggs0countAO1 Control 5-4 11 pt95.jpg,AO1 Control 5-4 11,0,0
eggs1countACO1 Lithium 5-4 16 pt34.jpg,ACO1 Lithium 5-4 16,0,1
eggs1countAO1 Lithium 5-4 11 pt48.jpg,AO1 Lithium 5-4 11,1,1
eggs0countnCO1 Control 5-4 10 pt91.jpg,nCO1 Control 5-4 10,0,0
eggs0countnCO1 Lithium 5-4 32 pt53.jpg,nCO1 Lithium 5-4 32,0,0
eggs0countACO1 Lithium 5-4 17 pt4.jpg,ACO1 Lithium 5-4 17,1,0
eggs0countnCO1 Control 5-4 9 pt64.jpg,nCO1 Control 5-4 9,0,0
eggs0countCO1 Control 5-4 5 pt13.jpg,CO1 Control 5-4 5,0,0
eggs0countAO1 Control 5-4 27 pt97.jpg,AO1 Control 5-4 27,0,0
eggs0countACO1 Control 5-4 46 pt12.jpg,ACO1 Control 5-4 46,0,0
eggs0countCO1 Lithium 5-4 30 pt26.jpg,CO1 Lithium 5-4 30,0,0
eggs0countACO1 Lithium 5-4 31 pt83.jpg,ACO1 Lithium 5-4 31,0,0
eggs0countACO1 Control 5-4 24 pt58.jpg,ACO1 Control 5-4 24,0,0
eggs0countnCO1 Control 5-4 8 pt72.jpg,nCO1 Control 5-4 8,0,0
eggs0countCO1 Lithium 5-4 9 pt2.jpg,CO1 Lithium 5-4 9,0,0
eggs0countACO1 Lithium 5-4 6 pt78.jpg,ACO1 Lithium 5-4 6,1,0
eggs0countCO1 Lithium 5-4 25 pt4.jpg,CO1 Lithium 5-4 25,0,0
eggs0countAO1 Control 5-4 16 pt93.jpg,AO1 Control 5-4 16,0,0
eggs0countCO1 Lithium 5-4 3 pt41.jpg,CO1 Lithium 5-4 3,0,0
eggs0countACO1 Lithium 5-4 30 pt44.jpg,ACO1 Lithium 5-4 30,0,0
eggs1countACO1 Lithium 5-4 39 pt78.jpg,ACO1 Lithium 5-4 39,1,1
eggs0countAO1 Control 5-4 6 pt2.jpg,AO1 Control 5-4 6,0,0
eggs0countACO1 Lithium 5-4 49 pt75.jpg,ACO1 Lithium 5-4 49,0,0
eggs0countACO1 Control 5-4 27 pt7.jpg,ACO1 Control 5-4 27,0,0
eggs0countACO1 Control 5-4 10 pt95.jpg,ACO1 Control 5-4 10,0,0
eggs2countCO1 Lithium 5-4 17 pt35.jpg,CO1 Lithium 5-4 17,2,2
eggs0countACO1 Control 5-4 49 pt45.jpg,ACO1 Control 5-4 49,0,0
eggs0countAO1 Control 5-4 16 pt1.jpg,AO1 Control 5-4 16,0,0
eggs0countCO1 Lithium 5-4 40 pt86.jpg,CO1 Lithium 5-4 40,1,0
eggs0countCO1 Lithium 5-4 25 pt70.jpg,CO1 Lithium 5-4 25,0,0
eggs1countnCO1 Lithium 5-4 24 pt26.jpg,nCO1 Lithium 5-4 24,1,1
eggs0countACO1 Control 5-4 41 pt61.jpg,ACO1 Control 5-4 41,0,0
eggs1countAO1 Lithium 5-4 7 pt38.jpg,AO1 Lithium 5-4 7,1,1
eggs0countACO1 Control 5-4 50 pt34.jpg,ACO1 Control 5-4 50,0,0
eggs0countACO1 Control 5-4 8 pt38.jpg,ACO1 Control 5-4 8,0,0
eggs0countnCO1 Lithium 5-4 43 pt75.jpg,nCO1 Lithium 5-4 43,0,0
eggs0countnCO1 Lithium 5-4 2 pt73.jpg,nCO1 Lithium 5-4 2,0,0
eggs0countnCO1 Control 5-4 41 pt30.jpg,nCO1 Control 5-4 41,0,0
eggs0countCO1 Control 5-4 18 pt32.jpg,CO1 Control 5-4 18,0,0
eggs0countAO1 Lithium 5-4 5 pt100.jpg,AO1 Lithium 5-4 5,0,0
eggs0countnCO1 Control 5-4 29 pt67.jpg,nCO1 Control 5-4 29,0,0
eggs0countnCO1 Control 5-4 20 pt99.jpg,nCO1 Control 5-4 20,0,0
eggs0countnCO1 Control 5-4 5 pt33.jpg,nCO1 Control 5-4 5,0,0
eggs0countACO1 Control 5-4 12 pt25.jpg,ACO1 Control 5-4 12,0,0
eggs0countnCO1 Lithium 5-4 47 pt80.jpg,nCO1 Lithium 5-4 47,0,0
eggs0countCO1 Lithium 5-4 34 pt74.jpg,CO1 Lithium 5-4 34,0,0
eggs0countCO1 Lithium 5-4 12 pt55.jpg,CO1 Lithium 5-4 12,0,0
eggs0countACO1 Control 5-4 39 pt34.jpg,ACO1 Control 5-4 39,0,0
eggs0countAO1 Control 5-4 25 pt71.jpg,AO1 Control 5-4 25,0,0
eggs0countAO1 Control 5-4 10 pt70.jpg,AO1 Control 5-4 10,0,0
eggs0countACO1 Lithium 5-4 50 pt20.jpg,ACO1 Lithium 5-4 50,0,0
eggs0countCO1 Control 5-4 36 pt73.jpg,CO1 Control 5-4 36,0,0
eggs0countACO1 Control 5-4 3 pt64.jpg,ACO1 Control 5-4 3,0,0
eggs0countACO1 Control 5-4 24 pt46.jpg,ACO1 Control 5-4 24,0,0
eggs0countnCO1 Lithium 5-4 39 pt67.jpg,nCO1 Lithium 5-4 39,0,0
eggs0countCO1 Control 5-4 50 pt4.jpg,CO1 Control 5-4 50,0,0
eggs0countACO1 Control 5-4 8 pt29.jpg,ACO1 Control 5-4 8,0,0
eggs0countAO1 Lithium 5-4 21 pt8.jpg,AO1 Lithium 5-4 21,0,0
eggs0countAO1 Control 5-4 16 pt60.jpg,AO1 Control 5-4 16,0,0
eggs0countACO1 Lithium 5-4 47 pt15.jpg,ACO1 Lithium 5-4 47,0,0
eggs0countnCO1 Control 5-4 26 pt52.jpg,nCO1 Control 5-4 26,0,0
eggs0countnCO1 Control 5-4 7 pt77.jpg,nCO1 Control 5-4 7,1,0
eggs0countCO1 Lithium 5-4 21 pt33.jpg,CO1 Lithium 5-4 21,0,0
eggs0countAO1 Control 5-4 45 pt98.jpg,AO1 Control 5-4 45,0,0
eggs0countnCO1 Control 5-4 26 pt44.jpg,nCO1 Control 5-4 26,0,0
eggs0countCO1 Lithium 5-4 31 pt68.jpg,CO1 Lithium 5-4 31,1,0
eggs0countnCO1 Control 5-4 4 pt50.jpg,nCO1 Control 5-4 4,0,0
eggs0countAO1 Lithium 5-4 35 pt41.jpg,AO1 Lithium 5-4 35,0,0
eggs0countnCO1 Control 5-4 23 pt70.jpg,nCO1 Control 5-4 23,0,0
eggs0countCO1 Control 5-4 32 pt23.jpg,CO1 Control 5-4 32,1,0
eggs0countACO1 Lithium 5-4 13 pt46.jpg,ACO1 Lithium 5-4 13,0,0
eggs0countCO1 Lithium 5-4 11 pt31.jpg,CO1 Lithium 5-4 11,0,0
eggs0countACO1 Control 5-4 10 pt34.jpg,ACO1 Control 5-4 10,0,0
eggs0countAO1 Control 5-4 31 pt20.jpg,AO1 Control 5-4 31,0,0
eggs0countAO1 Control 5-4 50 pt6.jpg,AO1 Control 5-4 50,0,0
eggs3countnCO1 Control 5-4 6 pt66.jpg,nCO1 Control 5-4 6,3,3
eggs2countCO1 Lithium 5-4 21 pt53.jpg,CO1 Lithium 5-4 21,3,2
eggs0countnCO1 Control 5-4 31 pt7.jpg,nCO1 Control 5-4 31,0,0
eggs1countnCO1 Lithium 5-4 36 pt86.jpg,nCO1 Lithium 5-4 36,0,1
eggs0countnCO1 Control 5-4 42 pt49.jpg,nCO1 Control 5-4 42,1,0
eggs0countACO1 Control 5-4 9 pt15.jpg,ACO1 Control 5-4 9,0,0
eggs0countACO1 Control 5-4 31 pt2.jpg,ACO1 Control 5-4 31,0,0
eggs0countACO1 Control 5-4 25 pt1.jpg,ACO1 Control 5-4 25,0,0
eggs0countCO1 Lithium 5-4 15 pt100.jpg,CO1 Lithium 5-4 15,0,0
eggs0countAO1 Lithium 5-4 20 pt81.jpg,AO1 Lithium 5-4 20,0,0
eggs0countnCO1 Control 5-4 12 pt53.jpg,nCO1 Control 5-4 12,0,0
eggs0countACO1 Lithium 5-4 4 pt50.jpg,ACO1 Lithium 5-4 4,0,0
